"MD","Mud_Weight_kg_per_m3"
"290.0","28.573993911540004"
"677.0","30.143908478420002"
"988.0","29.861423757240004"
"1200.0","30.143908478420002"
"1200.0","30.143908478420002"
"1200.0","30.143908478420002"
"1200.0","30.143908478420002"
"1200.0","33.28400314"
"1223.0","33.032703602"
"1717.0","33.28400314"
"1774.0","33.032703602"
"1805.0","33.28400314"
"2121.0","33.8177905172"
"2379.0","34.602880572400004"
"2602.0","34.602880572400004"
"2720.0","34.602880572400004"
"2720.0","34.602880572400004"
"2720.0","34.602880572400004"
"2720.0","35.387708217800004"
"2720.0","35.1052234872"
"2750.0","38.2453150182"
"2750.0","37.994015480200005"
"2750.0","37.7427128336"
"2959.0","38.2453150182"
"3063.0","38.2453150182"
"3063.0","38.2453150182"
"3063.0","38.2453150182"
"3106.0","29.861423757240004"
"3333.0","29.861423757240004"
"3338.0","29.861423757240004"
"3461.0","29.861423757240004"
"3467.0","29.861423757240004"
"3635.0","30.39521114072"
"3708.0","30.646513803020003"
"3827.0","30.39521114072"
"3893.0","30.646513803020003"
"4015.0","30.39521114072"
"4208.0","30.646513803020003"
"4208.0","30.646513803020003"
"4343.0","30.39521114072"
"4438.0","30.646513803020003"
"4489.0","30.39521114072"
"4592.0","29.07633683576"
"4713.0","28.29150919036"
"4882.0","27.004076223500004"
"5071.0","27.004076223500004"
"5071.0","27.004076223500004"
"5240.0","27.004076223500004"
"5326.0","27.004076223500004"
"5351.0","27.004076223500004"
"5580.0","27.004076223500004"
"5780.0","27.004076223500004"
"5831.0","27.004076223500004"
"5851.0","27.004076223500004"
"5874.0","27.004076223500004"
"5878.0","27.004076223500004"
"5942.0","27.004076223500004"
"6145.0","27.004076223500004"
"6183.0","27.004076223500004"
"6183.0","27.004076223500004"
"6183.0","27.004076223500004"
"6229.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","27.004076223500004"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
"6280.0","28.29150919036"
